"Year","X-Ray","NMR","EM","Multiple Methods"
"2023","3,768","123","1,882","4"
"2022","9,845","304","4,112","21"
"2021","9,250","360","2,952","17"
"2020","11,197","382","2,387","20"
"2019","9,635","380","1,451","19"
"2018","9,855","392","883","22"
"2017","10,072","412","564","8"
"2016","9,927","449","412","15"
"2015","8,578","431","216","15"
"2014","8,801","549","192","11"
"2013","8,704","496","119","14"
"2012","8,141","536","67","3"
"2011","7,341","516","52","13"
"2010","7,156","513","57","12"
"2009","6,663","563","44","6"
"2008","6,197","652","43","2"
"2007","6,139","965","20","3"
"2006","5,509","860","29","2"
"2005","4,428","874","24",""
"2004","4,399","727","15","2"
"2003","3,586","529","29","2"
"2002","2,525","441","25",""
"2001","2,383","414","13",""
"2000","2,236","370","14","1"
"1999","1,960","389","2","1"
"1998","1,722","331","2",""
"1997","1,234","329","1",""
"1996","983","187","1","1"
"1995","750","190","",""
"1994","1,067","222","",""
"1993","622","74","",""
"1992","181","11","",""
"1991","162","23","1",""
"1990","135","7","",""
"1989","71","2","","1"
"1988","52","","",""
"1987","25","","",""
"1986","17","","","1"
"1985","19","","","1"
"1984","21","","","1"
"1983","36","","",""
"1982","32","","",""
"1981","16","","",""
"1980","16","","",""
"1979","11","","",""
"1978","6","","",""
"1977","23","","",""
"1976","13","","",""
